sample_id	cluster
BS_00PH2T1P	0
BS_01BDZ0TW	2
BS_08127AYS	7
BS_0QTY32QA	6
BS_0RBGK29M	1
BS_0T5A16N2	1
BS_0TER803R	0
BS_0Y4VHCMS	1
BS_1BR81RGD	6
BS_1FR8GJ7N	2
BS_1G3QX306	5
BS_1G5N5R8S	7
BS_1GQJVG9Q	1
BS_1HXG4A7B	5
BS_1YD0ZQ4R	1
BS_20HSXMYQ	0
BS_255803B6	4
BS_25EXB29C	5
BS_29DZNQYC	6
BS_29MQMSCM	6
BS_2ABKFT99	0
BS_2F5KDZ93	7
BS_2FPVHEQS	1
BS_2N95EW0G	2
BS_2NPW3A08	4
BS_2P6MH05V	1
BS_2R0QBATZ	2
BS_2SFR8Z1P	5
BS_2X9EVKZ0	2
BS_30NT6PNA	5
BS_31MQXA1J	2
BS_3564XTTK	2
BS_35DBPYMN	2
BS_38SSRZJ1	6
BS_3AKS23A0	6
BS_3CVTNBQ3	5
BS_3KPKZVGX	1
BS_3VN61GQP	5
BS_42Y9E1Q8	7
BS_4D9SK48F	2
BS_4G4PK2D4	5
BS_4GHFYCWZ	0
BS_4J4MVGTR	3
BS_4J8JK335	1
BS_4RX1AAVV	0
BS_4VKRBRJC	7
BS_4WSW3X49	1
BS_4ZE1R1FW	1
BS_55AHFCX4	1
BS_55PH1SAS	7
BS_56CA6BFQ	1
BS_588QYDB1	5
BS_59BAHXTQ	1
BS_5ACNB1BG	6
BS_5BB8J64W	6
BS_5BFNH9S6	5
BS_5CR48ZM7	5
BS_5DXK26YF	3
BS_5PEA35TB	5
BS_5QFRPR61	6
BS_64P50TAP	5
BS_69KVWAWK	6
BS_6AENZKKA	5
BS_6FA0NNF1	5
BS_6K2SSJ77	1
BS_6KH6CXMH	1
BS_6S50RDHT	0
BS_75HW641M	5
BS_76SQJSHP	3
BS_7BJQNVK8	3
BS_7HRQNWJY	0
BS_7MXT22QP	5
BS_7NXB23C9	5
BS_7S8KSFRC	0
BS_7W42FH5A	1
BS_7ZT919XN	3
BS_808H2FQN	6
BS_87J6X9KJ	4
BS_89V49XKJ	3
BS_8C5QG3GE	1
BS_8D7YYP13	7
BS_8DB19DYW	7
BS_8FYZMP93	1
BS_8JTH2X5Z	5
BS_8JTKM67G	3
BS_8MJNDM75	7
BS_8S0EDFTP	5
BS_8XDZQKSD	2
BS_8ZFK0D8Z	6
BS_92YFTG9R	5
BS_95PV1RRY	5
BS_9BZBCZHK	1
BS_9CPZ5R1T	3
BS_9G2RB0V8	1
BS_9ND96NYZ	0
BS_9PEJSEZG	2
BS_9PRG9CJC	7
BS_9YMT5HB4	6
BS_9ZDR2H7D	5
BS_A11S37GE	5
BS_A2Z4DDQS	6
BS_A3K94FCY	3
BS_A527Y2QF	1
BS_A5AQFAFA	1
BS_ABZC437A	5
BS_ACCE0MEA	2
BS_ACDQRWMY	6
BS_AE718N55	1
BS_APY3G22J	0
BS_AZ6KVKC4	7
BS_B2RYV4GG	7
BS_B4GBBM0J	0
BS_B5MDTA3Q	5
BS_B6E0477K	5
BS_B80Z459E	2
BS_B95NMCYN	5
BS_BBK329W5	7
BS_BF83XX7P	6
BS_BHKAK446	1
BS_BJCTR4C8	5
BS_BPXHZ3Y0	6
BS_BTRGQHM4	5
BS_BVAVPKKN	5
BS_C2FYP4KW	4
BS_C3KT9THS	0
BS_C8T56CWR	3
BS_C9YD10Y4	3
BS_CD6KRB1K	3
BS_CG9KDK95	7
BS_CGGJZ5Q1	3
BS_CH0ZV29W	2
BS_CKVK1AYV	3
BS_CP8741SX	6
BS_CPGZYTHM	5
BS_CQ40NN4X	2
BS_CQC29CK5	5
BS_CTH5NJZN	5
BS_CWPHVM94	5
BS_D3N3FG7Y	0
BS_D7442ACV	2
BS_D8H43Q28	3
BS_D9BP1QN2	1
BS_DAX3YVG0	4
BS_DFJYRYV1	3
BS_DGV11G69	7
BS_DHC9SHF6	1
BS_DWYR5CTE	3
BS_DZ998H9P	5
BS_E2EXBFN7	0
BS_E4N511ZX	3
BS_E4V8XN3G	4
BS_E7CRT00M	7
BS_E9YW2KHS	4
BS_EDGSP4V6	3
BS_EE2YW499	6
BS_EQE447QB	1
BS_EWNSDJ7V	1
BS_EXDY4JFF	0
BS_F3ZZ4BXE	6
BS_F6MNG2S0	5
BS_F92J3KBA	1
BS_FAEHNS3Q	0
BS_FB2WKEXM	5
BS_FJP95JXF	2
BS_FK3DPAWA	7
BS_FR9R7VFY	3
BS_FSNCPJJF	3
BS_FV0C303D	5
BS_FXG6F3NN	5
BS_G4W213NW	3
BS_G6ASNYWP	3
BS_GAA781GQ	6
BS_GBS4JMAZ	1
BS_GFN4FETJ	3
BS_GG6XTN2H	4
BS_GNETMRJF	6
BS_GPNWSW71	5
BS_GPXZ2NQB	6
BS_GZ39V8AK	3
BS_GZG7GH62	6
BS_H0MVFRCE	1
BS_H18ZNTNR	5
BS_H68W3CE8	5
BS_H7T26DMD	5
BS_H915DJY3	3
BS_HCWEF4QN	7
BS_HEP8QTNN	1
BS_HQC1EKZ8	6
BS_HQYHVPC9	3
BS_HYX0M8VM	6
BS_HZKJMB0D	7
BS_J2DA5W77	5
BS_J3707KE2	5
BS_J5C6FMYZ	6
BS_J6FPW4H0	4
BS_J8YAY1HM	0
BS_JAJDF8HX	7
BS_JGVTE14P	0
BS_JQ0XD1K9	7
BS_JTP91S1A	6
BS_JV1GTZ1Q	6
BS_JXVVZ2S8	1
BS_JZFMHGNX	0
BS_K2K5YSDS	2
BS_K5DHTP34	6
BS_K62HBS01	3
BS_K9P9N35B	0
BS_KE5D12KG	6
BS_KQHSSRW3	1
BS_KTHF096D	7
BS_KXRFQF5N	0
BS_M0N8YXTA	7
BS_M7D3Q30Z	6
BS_MA4DE9P2	1
BS_MCCJ3EMF	7
BS_MJ2H7ZT3	6
BS_MMBWD5VD	4
BS_MMCZHZE6	7
BS_MQ6RKJCD	5
BS_MTQ7F28J	1
BS_MW0JYGG1	1
BS_MYVQ8YDT	7
BS_NB0ESCXK	7
BS_NGBKDYFB	6
BS_NK1FJNRG	3
BS_NNH2A86D	7
BS_NQN1P6QY	4
BS_NV00B2Y5	5
BS_NV9ZB445	5
BS_NVJJJ7MT	7
BS_NWCPQC60	5
BS_NX91DYXQ	1
BS_P0BHM8S1	1
BS_P4C0QJ9K	5
BS_P5VHEN5Q	3
BS_P69A72G2	3
BS_P6FPBJM8	2
BS_P8X3GAEP	3
BS_P9FWPEYY	5
BS_PDWEETXG	5
BS_PGBR1H2A	1
BS_PKHXM1NB	1
BS_PNF2SHN9	5
BS_PQFKEKEW	7
BS_PS8TB6Z0	7
BS_PWXXZMSR	5
BS_Q4PTDFKS	3
