Gene	Chromosome	Start	End	Strand
A1BG	chr19	58345183	58353492	-
A1CF	chr10	50799409	50885675	-
A2M	chr12	9067708	9116229	-
A2ML1	chr12	8822621	8876787	+
A3GALT2	chr1	33306766	33321098	-
A4GALT	chr22	42692121	42720870	-
A4GNT	chr3	138123713	138132390	-
AAAS	chr12	53307456	53324758	-
AACS	chr12	125065435	125143316	+
AADAC	chr3	151814073	151828488	+
AADACL2	chr3	151733927	151761339	+
AADACL3	chr1	12716110	12728760	+
AADACL4	chr1	12644547	12667086	+
AADAT	chr4	170060222	170091699	-
AAGAB	chr15	67200667	67255195	-
AAK1	chr2	69457997	69643739	-
AAMDC	chr11	77821109	77918432	+
AAMP	chr2	218264129	218270178	-
AANAT	chr17	76453351	76470117	+
AAR2	chr20	36236459	36270918	+
AARD	chr8	116938207	116944487	+
AARS1	chr16	70251983	70289707	-
AARS2	chr6	44298731	44313347	-
AARSD1	chr17	42950526	42964498	-
AASDH	chr4	56338287	56387508	-
AASDHPPT	chr11	106075501	106098695	+
AASS	chr7	122073549	122144249	-
AATF	chr17	36948954	37056871	+
AATK	chr17	81110487	81166221	-
ABAT	chr16	8674596	8784575	+
ABCA1	chr9	104781006	104928155	-
ABCA10	chr17	69147214	69244846	-
ABCA12	chr2	214931542	215138626	-
ABCA13	chr7	48171458	48647497	+
ABCA2	chr9	137007234	137028922	-
ABCA3	chr16	2275881	2340746	-
ABCA4	chr1	93992834	94121148	-
ABCA5	chr17	69244311	69327244	-
ABCA6	chr17	69078702	69141895	-
ABCA7	chr19	1040107	1065572	+
ABCA8	chr17	68867289	68955392	-
ABCA9	chr17	68974488	69060949	-
ABCB1	chr7	87503017	87713323	-
ABCB10	chr1	229516582	229558707	-
ABCB11	chr2	168915498	169031324	-
ABCB4	chr7	87401696	87480435	-
ABCB5	chr7	20615207	20757009	+
ABCB6	chr2	219209772	219218994	-
ABCB7	chrX	75051048	75156732	-
ABCB8	chr7	151028422	151047782	+
ABCB9	chr12	122920951	122981649	-
ABCC1	chr16	15949577	16143074	+
ABCC10	chr6	43427366	43450427	+
ABCC11	chr16	48166910	48247568	-
ABCC12	chr16	48082973	48155993	-
ABCC2	chr10	99782640	99852594	+
ABCC3	chr17	50634777	50692253	+
ABCC4	chr13	95019835	95301451	-
ABCC5	chr3	183919934	184017939	-
ABCC6	chr16	16148928	16223471	-
ABCC8	chr11	17392498	17476845	-
ABCC9	chr12	21797401	21942529	-
ABCD1	chrX	153724856	153744755	+
ABCD2	chr12	39550033	39619803	-
ABCD3	chr1	94418389	94518663	+
ABCD4	chr14	74285269	74302987	-
ABCE1	chr4	145098288	145129524	+
ABCF1	chr6	30571393	30591522	+
ABCF2	chr7	151211484	151227205	-
ABCF2-H2BE1	chr7	151207837	151227166	-
ABCF3	chr3	184186023	184194007	+
ABCG1	chr21	42199689	42297244	+
ABCG2	chr4	88090150	88231628	-
ABCG4	chr11	119149052	119162653	+
ABCG5	chr2	43812472	43838839	-
ABCG8	chr2	43831942	43882988	+
ABHD1	chr2	27123789	27130812	+
ABHD10	chr3	111979026	111993368	+
ABHD11	chr7	73736094	73738867	-
ABHD12	chr20	25294743	25390835	-
ABHD12B	chr14	50872053	50904970	+
ABHD13	chr13	108218392	108234243	+
ABHD14A	chr3	51971426	51981199	+
ABHD14A-ACY1	chr3	51975060	51989174	+
ABHD14B	chr3	51968510	51983409	-
ABHD15	chr17	29560547	29567037	-
ABHD16A	chr6	31686955	31703324	-
ABHD16B	chr20	63861498	63862988	+
ABHD17A	chr19	1876810	1885496	-
ABHD17B	chr9	71862452	71911193	-
ABHD17C	chr15	80679684	80755621	+
ABHD18	chr4	127965306	128039927	+
ABHD2	chr15	89087459	89202355	+
ABHD3	chr18	21650901	21704774	-
ABHD4	chr14	22598237	22613215	+
ABHD5	chr3	43690113	43734371	+
ABHD6	chr3	58237532	58294734	+
ABHD8	chr19	17292131	17310236	-
ABI1	chr10	26746593	26861087	-
ABI2	chr2	203328280	203447728	+
ABI3	chr17	49210411	49223225	+
ABI3BP	chr3	100749156	100993515	-
ABITRAM	chr9	108934400	108950744	+
ABL1	chr9	130713016	130887675	+
ABL2	chr1	179099330	179229684	-
ABLIM1	chr10	114431113	114768061	-
ABLIM2	chr4	7965312	8158832	-
ABLIM3	chr5	149141483	149260542	+
ABO	chr9	133255176	133275214	-
ABR	chr17	1003518	1229738	-
ABRA	chr8	106759483	106770244	-
ABRACL	chr6	139028745	139043302	+
ABRAXAS1	chr4	83459517	83523348	-
ABRAXAS2	chr10	124801819	124836667	+
ABT1	chr6	26596953	26600739	+
ABTB1	chr3	127672952	127680926	+
ABTB2	chr11	34150987	34358010	-
AC000120.3	chr7	92131807	92142952	-
AC000120.4	chr7	92131774	92245924	-
AC001226.2	chr13	76992078	77100400	+
AC002094.3	chr17	28364288	28368012	-
AC002996.1	chr12	111753890	111791418	+
AC003002.1	chr19	57363566	57398584	+
AC003002.2	chr19	57394183	57438457	+
AC003002.3	chr19	57389884	57419994	+
AC003006.1	chr19	57682045	57753575	+
AC004076.1	chr19	57437970	57477503	-
AC004080.3	chr7	27163535	27180013	-
AC004223.3	chr17	35011349	35121493	-
AC004593.2	chr7	29122340	29514667	+
AC004691.2	chr7	30852273	30923812	+
AC004706.3	chr17	6628619	6640456	-
AC004832.3	chr22	30409262	30428990	+
AC004922.1	chr7	99325879	99394653	+
AC004997.1	chr22	30285245	30299482	-
AC005154.5	chr7	30497077	30550761	-
AC005324.3	chr17	15571491	15651653	-
AC005551.1	chr19	3482804	3483446	-
AC005697.1	chr17	27798806	27893365	-
AC005702.1	chr17	59940908	59973101	+
AC005726.1	chr17	28580012	28614185	-
AC005833.1	chr12	4649101	4774184	+
AC005837.2	chr17	76732978	76738522	+
AC006059.2	chr3	42705756	42804493	-
AC006486.1	chr19	42234583	42255132	-
AC006538.2	chr19	2717769	2740048	-
AC007040.2	chr2	70939318	70995336	-
AC007326.4	chr22	18906238	18947732	+
AC007846.2	chr17	5772926	6080792	+
AC007906.2	chr16	53042745	53052849	-
AC007998.2	chr18	35443871	35497940	-
AC008162.2	chrX	120877496	120878924	-
AC008397.1	chr19	18250039	18255419	-
AC008397.2	chr19	18207961	18255419	-
AC008403.1	chr19	48465837	48472431	+
AC008676.3	chr5	157341596	157460100	-
AC008687.1	chr19	49022953	49036895	-
AC008687.4	chr19	49017496	49020523	-
AC008695.1	chr5	131425891	131796983	-
AC008758.1	chr19	12461559	12551474	-
AC008758.5	chr19	12391949	12441082	-
AC008763.3	chr19	7678501	7682854	+
AC008764.4	chr19	16577651	16660104	-
AC008770.2	chr19	11925075	11979290	+
AC008770.4	chr19	11987641	12078106	+
AC008878.1	chr19	7507082	7519526	+
AC008878.3	chr19	7382834	7470241	+
AC008982.1	chr19	38817471	38840178	-
AC009070.1	chr16	80829792	81006886	-
AC009163.5	chr16	75412684	75464706	-
AC009412.1	chr7	6329412	6348959	-
AC009779.3	chr12	55716036	55724703	+
AC009879.2	chr8	66430185	66445324	+
AC010255.3	chr5	122129622	122183949	+
AC010319.2	chr19	17436611	17460804	-
AC010325.1	chr19	50785726	50793142	-
AC010422.5	chr19	12664828	12669397	-
AC010522.1	chr19	57819719	57858941	+
AC010531.1	chr16	87302876	87334273	-
AC010646.1	chr19	17235940	17255448	-
AC010973.3	chr7	151061928	151061978	+
AC011005.1	chr7	129126518	129130793	+
AC011195.2	chr17	58660424	58692018	-
AC011448.1	chr19	19516227	19536076	+
AC011455.2	chr19	38915404	38949855	-
AC011462.1	chr19	41376757	41425001	+
AC011479.1	chr19	38289151	38304910	+
AC011499.1	chr19	5784005	5785619	-
AC011530.1	chr19	45779471	45785713	-
AC012184.2	chr16	70299214	70372582	+
AC012213.5	chr8	103398658	103501895	-
AC012309.1	chr19	37093019	37207074	-
AC012488.2	chr2	189661519	189667881	+
AC012531.3	chr12	53985845	54034888	+
AC013394.1	chr15	92883413	92927330	+
AC013470.2	chr7	12483344	12541270	+
AC013477.2	chr4	153152435	153415081	+
AC013489.1	chr15	88459501	88546585	-
AC015802.6	chr17	76563710	76570544	-
AC018630.2	chr12	10847139	11171600	-
AC018709.1	chr4	186426546	186555328	-
AC018755.2	chr19	51612091	51646889	-
AC019117.3	chr7	17299295	17467234	+
AC020907.6	chr19	35106510	35124297	+
AC020909.1	chr19	50415799	50428409	+
AC021072.1	chr12	53241889	53242723	+
AC022137.3	chr19	53431984	53461862	+
AC022414.1	chr5	77086732	77427124	+
AC022506.1	chr12	57517712	57520480	-
AC023055.1	chr12	55757275	55827546	-
AC023490.5	chr22	18633984	18634682	+
AC024558.2	chr3	126571779	126608555	-
AC024592.3	chr19	5867615	5903703	-
AC024598.1	chr10	62374192	62672011	+
AC025165.3	chr12	57773053	57786247	+
AC025287.4	chr16	75660227	75677009	-
AC026316.4	chr3	170418868	170860380	+
AC026464.3	chr16	69335091	69356306	-
AC026464.4	chr16	69299682	69322700	+
AC026464.6	chr16	69328644	69334871	-
AC026786.1	chr12	133130984	133202369	+
AC034102.2	chr12	56101331	56109289	+
AC037459.1	chr8	22589274	22602084	+
AC048338.2	chr12	122207662	122227534	-
AC053503.6	chr2	219491867	219498244	+
AC055839.2	chr17	5499427	5501006	-
AC058822.1	chr4	53377839	54295272	+
AC063943.3	chr12	120534697	120534957	+
AC068533.4	chr7	66087761	66152277	+
AC068580.4	chr11	1734821	1763954	-
AC068631.2	chr3	186581995	186597103	+
AC068775.1	chr12	10412312	10436001	-
AC068870.4	chr15	81002142	81002279	+
AC069368.1	chr15	64841948	64930920	+
AC069444.2	chr3	119703076	119807570	+
AC072022.2	chr3	187743686	187746028	+
AC073111.4	chr7	150405146	150410363	+
AC073610.2	chr12	48903503	48957365	-
AC073896.1	chr12	56285916	56316059	-
AC079741.2	chr7	112450487	112450645	+
AC083800.1	chr3	119147375	119187807	+
AC083977.1	chr8	32647202	32647390	+
AC084756.2	chr15	50648802	50686717	-
AC087721.2	chr15	41286011	41380996	+
AC090517.4	chr15	56652488	56918571	-
AC090527.3	chr15	45587351	45676314	+
AC091167.6	chr15	90266317	90314499	+
AC091959.3	chr5	146203550	146339251	+
AC092017.2	chr1	211082872	211188533	-
AC092042.3	chr3	42936859	43032292	+
AC092073.1	chr19	34396315	34409364	+
AC092143.1	chr16	89919165	89936092	+
AC092329.3	chr19	23222755	23274221	-
AC092442.1	chr4	6064977	6070162	-
AC092587.1	chr2	99154998	99195298	+
AC092647.5	chr7	55887277	55955239	+
AC092718.3	chr16	81053587	81096296	-
AC092718.8	chr16	81022316	81096284	-
AC092835.1	chr2	95207535	95259144	+
AC093155.3	chr1	86993009	87169204	+
AC093246.1	chr5	171420016	171436172	+
AC093323.1	chr4	6673969	6676013	+
AC093512.2	chr16	30053090	30070420	+
AC093525.1	chr16	2513965	2527955	+
AC093525.2	chr16	2496032	2520218	+
AC093668.1	chr7	102541501	102592444	-
AC093827.5	chr4	86886472	86934732	-
AC093899.2	chr2	169479480	169525922	+
AC097634.4	chr3	70959226	71754229	-
AC097636.1	chr3	51798803	51830856	+
AC097637.1	chr3	52221081	52231190	-
AC098582.1	chr4	88523810	88708450	+
AC099489.1	chr16	11359845	11527245	-
AC099569.1	chr1	89579592	89579654	+
AC099811.2	chr17	42119674	42154916	-
AC099850.2	chr17	59197566	59215226	+
AC100868.1	chr8	132024238	132085655	-
AC104109.3	chr5	134167170	134226071	-
AC104389.6	chr11	5248270	5254783	-
AC104452.1	chr3	49416794	49429310	-
AC106873.8	chr7	116954391	117119719	+
AC107871.1	chr15	68191130	68229718	-
AC107959.5	chr8	23084403	23115536	+
AC109583.1	chr3	46712115	46812574	-
AC113348.1	chr5	178694605	178697695	-
AC114402.3	chr1	203802094	203802192	+
AC114490.3	chr1	34974356	34985313	-
AC116366.2	chr5	132410832	132646079	+
AC117378.1	chr12	56714612	56741535	-
AC117457.1	chr3	178419123	178843300	+
AC118281.1	chr4	1391552	1395992	+
AC118470.1	chr1	247711813	247723764	-
AC118553.2	chr1	99970011	100082698	+
AC119396.1	chr19	7348943	7383385	+
AC119676.1	chr1	41585306	41628816	-
AC126283.2	chr4	109713916	109801999	-
AC127029.3	chr17	63917203	63931385	-
AC129492.3	chr17	8150816	8162975	-
AC131160.1	chr3	183815568	183884889	-
AC132217.2	chr11	2129112	2149603	-
AC134669.1	chr17	31305213	31318831	-
AC134980.3	chr15	22015233	22095857	+
AC135050.2	chr16	31086760	31094956	-
AC135068.1	chr15	21637909	21638992	+
AC135068.3	chr15	21651844	21652968	+
AC136428.1	chr16	33844784	33845229	-
AC138647.1	chr8	141514638	141518737	+
AC138696.1	chr8	143247110	143276403	+
AC138811.2	chr16	18788063	18801519	-
AC138894.1	chr16	28456719	28482634	-
AC138969.1	chr16	16331877	16350590	+
AC139530.2	chr17	81703371	81720539	+
AC140504.1	chr16	15395754	15515348	+
AC144573.1	chr8	37934340	37965953	-
AC231656.1	chrX	149414886	149415495	-
AC231657.3	chrX	49071470	49079887	-
AC233723.1	chr17	4801159	4802335	-
AC236972.4	chrX	153271618	153277803	+
AC242628.1	chr1	147611590	147611796	+
AC242842.3	chr1	149390623	149556361	+
AC243547.3	chr1	145927258	145977811	+
AC243967.1	chr19	41708657	41756737	+
AC244197.3	chrX	149477104	149540926	-
AC244517.10	chr5	141223372	141245861	+
AC245033.1	chr15	82536788	82571741	-
AC245748.1	chr19	44329695	44401608	-
AC253536.7	chr22	23971378	23980469	-
ACAA1	chr3	38122710	38137242	-
ACAA2	chr18	49782164	49813953	-
ACACA	chr17	37084992	37406836	-
ACACB	chr12	109116595	109268226	+
ACAD10	chr12	111686053	111757099	+
ACAD11	chr3	132558141	132659844	-
ACAD8	chr11	134253561	134265855	+
ACAD9	chr3	128879620	128913114	+
ACADL	chr2	210187923	210225447	-
ACADM	chr1	75724347	75763679	+
ACADS	chr12	120725826	120740008	+
ACADSB	chr10	123008979	123058290	+
ACADVL	chr17	7217125	7225266	+
ACAN	chr15	88803436	88875354	+
ACAP1	chr17	7336529	7351477	+
ACAP2	chr3	195274745	195443020	-
ACAP3	chr1	1292391	1307930	-
ACAT1	chr11	108116695	108147603	+
ACAT2	chr6	159762045	159779112	+
ACBD3	chr1	226144679	226186741	-
ACBD4	chr17	45132600	45144181	+
ACBD5	chr10	27195214	27242130	-
ACBD6	chr1	180269653	180502954	-
ACBD7	chr10	15075475	15088776	-
ACCS	chr11	44066179	44084237	+
ACCSL	chr11	44047981	44059977	+
ACD	chr16	67657512	67660815	-
ACE	chr17	63477061	63498380	+
ACE2	chrX	15561033	15602069	-
ACER1	chr19	6306142	6333612	-
ACER2	chr9	19409009	19452505	+
ACER3	chr11	76860867	77026797	+
ACHE	chr7	100889994	100896974	-
ACIN1	chr14	23058564	23095614	-
